uid,text,data_part
nLG-B3e-pP0--48,"See, to remove impurities or harmful components.",Train
OS0q5XwHSys--18,It says sexual act performed by a man on his own wife is not rape. A man has the right to have sex with his wife it can never be called rape.,Train
s9bWguOVijc--23,"Therefore, it wants the government officers to get involved in social media and OTT platform companies to regulate content.",Train
xAZMH5dLB4k--16,He has to appear before the court & come for questioning whenever summoned.,Test
u8XxXbHuYPM--9,The TADA court then sent him to jail. He remained under arrest for 16 years.,Train
5n_IGU5rYYk--7,"On March 6, Dmytro Kuleba, Foreign Minister, Ukraine, urged Prime Minister  Narendra Modi",Train
mJ69KqzX3lU--25,So the area of piece a is equal to?,Train
ADbLePtyUyg--59,And don't eat anything after drinking it for at least 1-2 hours ,Train
qXGli6f2E14_w,dissipate,Train
Nn9spzBqmMs--27,The little group of travellers scattered in fear but Swami Haridas called them together.,Train
RvdDj-FcFkQ--5,India is the perfect place as we are the third-largest consumer of crude oil in the world.,Train
3VGUR_p_89o--9,The temple'e sanctity should be maintained.,Train
k1PbRMktoiI--5,and was two runs short of a century.,Validation
P4HhsVsOVTo--0,A surfer Maya Gabeira from Brazil has achieved the unthinkable.,Train
zy9VVbp5XJw--3,"To win the Presidential elections in the USA, 270 electoral votes are needed.",Train
_-Db5LNVqTM--17,"But the doctors reassured her that it was not her fault,",Train
2PDVqrc3eU4--86,dash into 2 is equal to dash.,Validation
YjVwBC6ezgU--2,This was due to all the bad loans given by the bank.,Train
f2tZrB3s400--12,ensuring the pitch and the run-up areas for fast bowlers remained shielded.,Train
zMC0dTOVeUA--35,and three.,Train
d-jdwQw63hE--5,There were many rumours that they had got married between 2005 and 2008.,Train
S_AABZTSu40--4,were allowed to use the trains.,Train
jO3GFm_acBs_w,apart,Train
j7ZyPTfUwzA--17,The Great Star of Africa is still mounted on Queen Elizabeth's sceptre.,Validation
FvCq7gTlVpI_d,"to feel sad or complain about something, especially a bad situation",Train
sJlOxY0Rxdo--14,caused pollution due to their construction work.,Train
RDxX3fWFvzY--216,Press the paper with hot iron or warm it by holding it above the flame of a candle.,Train
qEjgC7BM_68--0,"This is the President of VAD, his name is Akbar Dhamani - sign name.",Train
yzP6HD0Zr3Y--95,I can't stay back.,Train
JNGWOgwNRDs--8,"Yesterday on Sunday, ISRO Chairman K Sivan confirmed that Chandrayaan-2’s orbiter from which the lander ejected,",Train
LljUaUMMCdg--241,book,Train
4VOhPXdDqow--25,Lawyer representing the US rubbished these claims.,Train
PvISFi4rDZU--5,"They will talks about strenghtening business, military & technology ties.",Train
GjIva5wRjy0--0,"A few days back, Maria Andrejczyk a 25 year old from Poland,",Train
iMlR4QLSWok--244,one,Train
57cab2a92c69-75,"at once they got up, flapped their wings and flew away.",Train
2cuDH0BTcqY--12,Fortunately the autorickshaw stopped due to traffic and Mukesh got caught.,Test
orOZSAYBP6o--1,"is a Deaf Engineer, Entrepreneur and a Motivational speaker.",Train
1uPUbhBvzwk--7,"Reportedly, MI paid a massive transfer fee of Rs 100 crore to the Gujarat Titans to complete the deal.",Train
NwVF-WWZ0Bc--143,the same space as your math magic book.,Train
gd3Gu5lY8qw--24,World over LGBTQ+ rights are more accepted now.,Train
HEKN47L_f5s--19,Flights too are delayed due to the thick fog and zero visibility.,Train
oharjuO7GRM--14,"the swing's chain was of bad quality, there were no seat belts and safety regulations weren't followed.",Validation
UOP-m62eses--11,"According to the documents submitted by her,",Train
EYO0ko9YnNU--27,passionate to learn and humble.,Train
z2UgGzyfK3M--19,You must have seen the movie Shrek where there was a green colored ogre.,Test
WxbqM5dU3ac--17,It is suitable for the Deaf as they will be able to understand.,Train
RWDMN5XKAy8--11,Wallace realised that it was not a cotton bud. He had earlier flown to Australia. During the flight he used earplugs.,Train
C8xfqZNQd70--19,What happens? A single yarn gets pulled out continuously. A single yarn gets pulled out continuously as the fabric gets unraveled.,Train
5ZCZs9X2QVY--12,I kept wondering what was the meaning of the title 'Baba'.,Train
nyZL5MfKPKE--24,"An official of the National Conference party said that,",Train
62e79450f3da-39,Based on this activity complete the paragraphs.,Test
awYr3N1SiC0--1,The NCB had found one gram of cocaine in his house.,Train
4ea55d87345a-7,by his mother's side.,Train
6KjVyu3HcyE--9,"The petitioner said the notices had been issued in an ""arbitrary manner,"" when some were not even involved in the violence.",Test
eD8Y8tLEti4--26,and is expected to tie the knot with the cricketer upon their return to India.,Train
95oFAAOtyCc--18,Maharashtra Chief Minister announced that the lockdown in Maharashtra will extend till at least 30th April.,Train
eUd_U5QzX9A--73,"In the end, I wish to tell you all that nowadays people are not kind hearted like earlier.",Train
AyP2IeipP10--15,"They then found, that Ashok was Deaf.",Train
43043aa04251-97,1. Fill in the blanks.,Train
KuqklLT-79w--4,It is unimaginable. Let me tell you this strange story.,Train
rCFR0SEzDEE--16,The youngest of the Khan brothers is Sohail Khan.,Train
L7d8HSW1qCs--3,"In June 2020, Velu completed 1,600 km in just 17 days. Such an energetic man.",Train
LjX-Uwdgugo--14,Diogo wanted to be happy.,Train
sOHkaPiXYO8--14,The Indian government has listed several reasons that led to the coal shortage.,Train
IYHuOKIdvsU--10,There are many job reservation for people from SC/ST community.,Train
93H2zSLjUBI--9,Ronita has volunteered to breastfeed such babies.,Train
it4GglIkMLY--43,"He often had a special seat, a throne.",Train
sK8DUVOr6_0--15,That is why he was released in 3 years. He was jailed  from 2017 to 2020.,Validation
d8l0aUTXeH4--18,and attached a similar photo of a famous Hollywood actress wearing a bikini,Train
zoBP39jyRMs--277,How do they work?,Train
P4HhsVsOVTo--18,This achievement broke a world record and also broke a lot of stereotypes about women in sports.,Train
9ezqwvdzW90--105,Then find what the numbers B and C will be.,Test
04dqblwXBPI--13,His elder son is a doctor putting up in Canada.,Train
ZFnJJlP--0M--31,as he is one who has implemented these strict laws to supress the women.,Train
1-YUm865HA0--137,They held full and frequent.,Train
UJna0LLbQOo--17,She ended her speech by teaching the crowd the sign for “I love you.”,Train
WxKh6dYTUOU--41,"Before we do that, we do need to know the correct way of measuring lengths and distances.",Train
kx6yqChkpxg--16,Saanvi says that she was inspired by her mother who is a chef who participated in many competitions.,Train
YljNks2VsrY--50,Page 67.,Validation
5v639n_dMOI--9,PM Modi was accompanied by,Train
exqm_484F14--80,Figure 9.10.,Train
2UTsfs3knws--29,"The parents demanded an autopsy. However, the police refused and asked them to cremate the body.",Train
0G6BgHvWDlM--3,It is held in one of these places every 12 years.,Train
PYuQbXqfcxM--29,Vidisha strongly questioned Imran Khan.,Validation
9DdtGulGsNM--5,"The woman shrug him off and walked away, but the policeman followed her.",Validation
GIx57eZ4R0M--20,And we also throw away many domestic waists.,Validation
iMl-qc_9AK0--12,"However, Samson rejected the offer saying that he wants to represent India only.",Validation
gxbQ8EIfDkg--5,3.  If possible visitors must be allowed in shops in batches.,Train
kpJCJ2g6yfQ--7,But we do not always remember our dreams.,Train
S_sy1WfTmyI--23,He was arrested by the Delhi Police but has been released on bail.,Train
hdCZtwn3K8U--0,"After the outbreak of COVID-19, masks have become mandatory,",Train
nSQUhb44s5M--20,Rupi Sri Lankan Rupi,Train
xiCeQk7jjBU--26,Let us know in the comments if it should be banned or should the hygiene condition improve.,Train
83326b7bbc9c-139,"A, copy someone.",Train
bpMwuPkq8A0--24,the new strict laws are there to instill fear among the people.,Train
pB0D0lxmRyo--18,Rahul Gandhi said that PM Modi always encouraged businesses to 'Make in India',Train
17zGKlAx3Qs--33,Blinded with lust the soldier then raped her.,Train
WxbqM5dU3ac--34,These Zumba classes are not only for the Deaf,Train
5uxqKvxw-FQ--216,The process of condensation please an important role in bringing water back to the surface of Earth.,Train
Xwd1e9lgw08--11,We think of soups as something you have before your meal,Train
q4RnudGCU18--24,"Those who violate the rule, would be jailed.",Train
YDRNx4MIFLI--4,He said that the society and the BJP party,Train
rCX1dSMtFS0--9,1. Pregnant women should be fully informed about the adverse effects if they get infected with the coronavirus,Train
gBo9NvjdvNo--9,"The Union Minister for Road Transport and Shipping Nitin Gadkari,",Train
MzzSZWYatRQ--6,It falls on the 9th day of the Chaitra month as per Hindu calendar.,Test
Jq6BM6SXYgc--16,Maharashtra banned the sale of the Chinese Manja in 2015.,Train
RDxX3fWFvzY--148,What are the changes that occur in the incense stick?,Validation
r2nZfRzinjI--5,Do you think Ashraf enter India recently? No!,Train
4c10721611b2-4,They do different kinds of work.,Train
4ydVe4_01fY--23,After that they did not do anything.,Train
pn9SS6p3yQM--37,be heard again the court has also,Train
MnCcM6PZrug--2,"However, it can't be done regualarly as it is expensive.",Train
DNxiR9b7OOk_e1,Her cheeks were aflame with anger.,Train
rPEVSw1X6GE--9,He also attended Oxford University as a Rhodes scholar.,Train
jDy4C7B8OwI--260,and scientific discoveries were made.,Train
cteY1cGdma8--10,The yearly fees were  Rs 1 Lakh and Rs 1.6 Lakh.,Train
wB-e9NeDUzg--1,"where the 8 IPL teams like the Mumbai Indias, Rajasthan Royals, Kings IX Punjab,",Train
ECIzgTcjuo0--0,Currently there is a lot of controversy surrounding Kangana Ranaut.,Test
5ig3g6gQL08--3,He stopped in front of a roadside Chinese food stall and ordered food for himself.,Train
ZfW_9iUhX4w--65,omicron was detected in maharashtra,Train
dPuKX_lM4Zc--24,dash dash dash dash,Train
JKSM8BO2plk--59,"However, the wrestlers continued their protest and are demanding sacking Singh from all posts and registering FIR against him.",Train
LkjXRPq_2mo--15,People won't be allowed to leave. This was reported by the BBC.,Validation
fjmZH2OZW2o--10,and the another person bought the painting for Rs 1.70 crore.,Test
Pq_t0WFvIOY--51,People were shocked that Akrit without any formal medical training and no experience had treated the girl.,Train
faa294a9bc4f-60,Who am I?,Train
Wxdy5D0VrgM--27,There are many foreign nationals who have been suffering only because they were married to Israeli women and are banned to travel.,Train
I1mnjaiJ0_Y--6,The test was conducted without a glitch.,Train
CO-cLZl36nI--75,A,Train
i75MC-W5BOE--8,"""Shocked and sad to know about Sidharth Shukla. Gone too soon. He was only 40.",Train
jooCtOZBfOk--115,One.,Train
5rMqOloTXb4--2,Indians were very happy and proud of her achievement.,Train
eda13bc934dd-74,a dash.,Train
XQ-kB-SerIg--7,Uttar Pradesh CM Yogi Adityanath will personally be in charge of all the arrangements in Ayodhya.,Train
027ae060c5e0-16,Do you want to be like me?,Train
zG9NwU51wkg--4,The winter session of the parliament started on 29 November.,Validation
XMPggRHjEbY--26,Masood Azhar as a global terrorist.,Train
AKvWUfY4OSQ--0,A news has gone viral of a sikh person being handcuffed. Do you know the reason for this?,Validation
TA0PBS1hO8Q--8,The J&K police and the bomb disposal squad of the Indian Army reached the spot.,Train
S5iuebvtDu0--142,8. What were the subjects?,Train
myJoyuvP5UM--18,She shared her disapproval on her insta stories.,Test
1R_mBMid1iw--16,The Meteorological Department said that heavy rains will continue.,Validation
zzCYU45901s--16,"and file Tax returns, then their pan card will be inoperative as it is not linked with Aadhar.",Train
0G6BgHvWDlM--11,mass feedings of monks or the poor and people enjoy to the fullest.,Train
2r5XBg-iaM0--6,She was surrounded by family and her caregivers.,Train
43043aa04251-93,6,Train
MzzSZWYatRQ--5,"Ram Navami, birth of Lord Ram, was celebrated on 17th April 2024.",Train
ZfW_9iUhX4w--27,what caused the crash though is still,Validation
D05AOLuvw1c--10,and Riteish Deshmukh mourned the demise of the filmmaker on Twitter.,Validation
qYKOWJdx37c--5,There were cases where the girl and her family were harrased and threatened by Sengar and his associates.,Train
AHMCo_OYXWQ--16,He will be given all eligible government schemes including a house.,Train
EpZF2qY8OzA--7,Write and show me.,Train
Z3Ykb8bw7KE--20,Bee-keepers work very hard to make natural honey. This increases cost of the product.,Test
dht7S24Zauk--179,"Tap root and B, Fibrous roots. Separate the plants you have collected into two groups.",Test
Ih1sV1YuTMk--22,Since Ukraine wants to stop the war they made the following offers:,Train
20cQXc_5IF4--5,and Jacqueline is on bail.  You know about this.,Train
KxSE0wCkOV0--17,E-tickets for Sleeper Class will cost Rs 20 extra,Validation
7LkK0O6xxGU--19,You think innovations are good? Or should we stick to old times? Let us know in the comments.,Train
jkJuvzGeAjI--25,It is absolutely wrong.,Train
GxnjBSbZuSk--5,The Supreme Court then said that women must be allowed to enter.,Validation
dkavvNigK7s--0,"A Legend Airlines’ chartered flight took off from Dubai and landed at Châlons Vatry airport, 160 kilometers away from Paris, France for refuelling.",Train
6Lb8PCw6vcc--33,venge table Sir Sou Sagh,Train
g61zN-mQwWs--142,found guilty irrespective of their class,Test
JZr-c3D9W5E--12,are given 48 hours time to transfer those. Post that the app will be banned.,Train
DDJbQPdMiCQ--8,"Shockingly, 2 Deaf boys named Vishnu Jangid and Chetan Kumawat who were also a part of the gang.",Train
